NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
napraforgó;Foszfor;4;közepes;7
napraforgó;Foszfor;4;jó;6
napraforgó;Foszfor;4;igen jó;4,2
napraforgó;Foszfor;5;igen gyenge;8,5
napraforgó;Foszfor;5;gyenge;7,2
napraforgó;Foszfor;5;közepes;6
napraforgó;Foszfor;5;jó;5
napraforgó;Foszfor;5;igen jó;3,5
napraforgó;Foszfor;6;igen gyenge;8,4
napraforgó;Foszfor;6;gyenge;7,9
napraforgó;Foszfor;6;közepes;7,4
napraforgó;Foszfor;6;jó;6,8
napraforgó;Foszfor;6;igen jó;4,5
napraforgó;Kalium;1;igen gyenge;8,2
napraforgó;Kalium;1;gyenge;6,8
napraforgó;Kalium;1;közepes;4,4
napraforgó;Kalium;1;jó;4
napraforgó;Kalium;1;igen jó;3,8
napraforgó;Kalium;2;igen gyenge;8
napraforgó;Kalium;2;gyenge;6,5
napraforgó;Kalium;2;közepes;5
napraforgó;Kalium;2;jó;4,5
napraforgó;Kalium;2;igen jó;4
napraforgó;Kalium;3;igen gyenge;8,5
napraforgó;Kalium;3;gyenge;7,8
napraforgó;Kalium;3;közepes;6,5
napraforgó;Kalium;3;jó;4,2
napraforgó;Kalium;3;igen jó;2,9
napraforgó;Kalium;4;igen gyenge;10,5
napraforgó;Kalium;4;gyenge;10
napraforgó;Kalium;4;közepes;9
napraforgó;Kalium;4;jó;7,5
napraforgó;Kalium;4;igen jó;5,5
napraforgó;Kalium;5;igen gyenge;10
napraforgó;Kalium;5;gyenge;8
napraforgó;Kalium;5;közepes;7
napraforgó;Kalium;5;jó;6,4
napraforgó;Kalium;5;igen jó;6
napraforgó;Kalium;6;igen gyenge;10
napraforgó;Kalium;6;gyenge;9
napraforgó;Kalium;6;közepes;8
napraforgó;Kalium;6;jó;7
napraforgó;Kalium;6;igen jó;5
repce;Nitrogen;1;igen gyenge;6
repce;Nitrogen;1;gyenge;5,4
repce;Nitrogen;1;közepes;5
repce;Nitrogen;1;jó;4,6
repce;Nitrogen;1;igen jó;2,5
repce;Nitrogen;2;igen gyenge;7,2
repce;Nitrogen;2;gyenge;6,7
repce;Nitrogen;2;közepes;6,2
repce;Nitrogen;2;jó;5,8
repce;Nitrogen;2;igen jó;3,5
repce;Nitrogen;3;igen gyenge;5
repce;Nitrogen;3;gyenge;4,5
repce;Nitrogen;3;közepes;4
repce;Nitrogen;3;jó;3
repce;Nitrogen;3;igen jó;1
repce;Nitrogen;4;igen gyenge;7
repce;Nitrogen;4;gyenge;6,7
repce;Nitrogen;4;közepes;6,4
repce;Nitrogen;4;jó;6,1
repce;Nitrogen;4;igen jó;4,1
repce;Nitrogen;5;igen gyenge;7,2
repce;Nitrogen;5;gyenge;5,8
